category,name,price,description
Manitoba,Oxus Behemoth Ryewine,5.05,(355ml 9.50%) Manitoba
Mexico,Patron Reposado Tequila,51,(375ml 40.00%) Mexico
Mexico,Patron Silver Tequila,45.75,(375ml 40.00%) Mexico
Canada,Peller Family Vineyards Malbec,42.49,(4Litre 14.00%) Canada
France,Pere Alselme La Fiole Reserve Cotes Du Rhone Villages Aoc,29.99,(750ml 14.50%) France
France,Pere Anselme La Fiole Rose Cotes Du Rhone Aoc,16.49,(750ml 13.50%) France
Canada,Rebellion Brewing Amber Ale,4.46,(473ml 5.00%) Canada
Canada,Rebellion Brewing Beer! Ale,4.46,(473ml 4.80%) Canada
Italy,Santa Margherita Valdobbiadene Prosecco Docg,12.99,(375ml 11.50%) Italy
Canada,Sleeping Giant Brewing Northern Logger Golden Ale,3.39,(473ml 4.90%) Canada
Canada,Sleeping Giant Brewing White Out Hazy Ipa,3.75,(473ml 6.10%) Canada
Canada,Smimrnoff Raspberry Vodka,16.29,(375ml 35.00%) Canada
Manitoba,Sookrams Brewing Toros Amber Ale,4.29,(473ml 5.00%) Manitoba
Minnesota,Sour Puss Raspberry Liqueur,1.99,(50ml 15.00%) Minnesota
Minnesota,Sour Puss Raspberry Liqueur,8.49,(200ml 15.00%) Minnesota
Canada,Stanley Park Brewing Sunsetter Fruit Stand Mix Pack,26.99,(12x355ml 4.80%) Canada
Indiana,The Kraken Gold Spiced Rum,28.99,(750ml 35.00%) Indiana
France,The Pale Rose By Sacha Lichine,21.99,(750ml 13.00%) France
Manitoba,Torque Brewing Curmudgeon Sour Ipa,4.49,(473ml 6.00%) Manitoba
Manitoba,Torque Brewing Reality Bites Pale Ale,4.99,(473ml 5.00%) Manitoba
